Category,Offer Name,Description,Example (Indian Market Context),Frequency in Indian Market
Product-based / BOGO,Buy One Get One Free (BOGO),Buy one item and get another of the same or similar item free.,"Buy 1 pizza, get 1 free at Domino's on specific days.",Very frequently
Product-based / BOGO,Buy One Get One at 50% Off,"Second item is sold at a discounted rate, usually 50% off.","Buy 1 shirt, get 2nd at 50% off in apparel stores like Max, Lifestyle.",Very frequently
Product-based / BOGO,1+1 / 2+1 / 3+1 Offers,Buy multiple items and get one or more items free.,1+1 on personal care like shampoos or soaps in supermarkets.,Very frequently
Bundles & Combos,Combo Packs / Value Packs,Two or more products sold together at a lower combined price.,Burger + Fries + Coke combo in QSR outlets like McDonald's.,Very frequently
Quantity / Volume,Bulk Purchase Discount,Discounts applicable when buying in large quantities.,Save more on 5kg or 10kg rice/atta packs vs 1kg packs in supermarkets.,Very frequently
Quantity / Volume,Multi-Pack Savings,Multi-unit packs priced cheaper than buying single units.,Pack of 6 soft drink cans vs single can pricing.,Very frequently
Price-based,"Percentage Discount (Flat 10%, 20%, 50%)",Fixed percentage reduction on product or cart value.,Flat 50% off on fashion during end of season sale.,Very frequently
Price-based,Up to X% Off,"Range-based discount, only some items are at highest discount.",Up to 70% off on Amazon Great Indian Festival.,Very frequently
Cashback & Wallet,"Wallet Cashback (Paytm, PhonePe etc.)",Cashback credited to digital wallet after transaction.,10% Paytm cashback on petrol pumps or DTH recharge.,Very frequently
Cashback & Wallet,Bank/Card Cashback,Cashback credited back to bank/credit card.,10% HDFC/ICICI/SBI credit card cashback during festive sales.,Very frequently
Cart / Order-based,Minimum Purchase Discount,Discount applied when order exceeds a threshold.,₹200 off on orders above ₹1499 on Myntra.,Very frequently
Cart / Order-based,Free Shipping Above Threshold,Delivery charges waived above a certain order amount.,Free delivery on grocery orders above ₹500.,Very frequently
Cart / Order-based,First Order Discount,Special discount for the first purchase by a new customer.,Flat 50% off on first food order on Swiggy/Zomato.,Very frequently
Customer Segment,Loyalty Points Program,"Points earned on purchases, redeemable later.",Supermarket chains and brands offering loyalty cards/points.,Very frequently
Time-based,Flash Sale,Short time-limited deep discounts.,2-hour flash sale on mobile apps / e-commerce.,Very frequently
Time-based,Festive Sales,Large campaigns around festivals with deep discounts.,"Diwali, Navratri, Pongal, Eid, Christmas sale events.",Very frequently
Time-based,End-of-Season Sale (EOSS),Discounts to clear out seasonal inventory.,Winter sale or summer sale in fashion retail.,Very frequently
Time-based,Countdown / Limited Time Offers,Offers shown with countdown timers to create urgency.,Deal of the day with countdown clock on e-commerce apps.,Very frequently
Coupon / Promo-based,Promo Code Discount,Customer enters a code at checkout to unlock discount.,Use code SAVE20 to get 20% off on food delivery.,Very frequently
Coupon / Promo-based,Scratch Card Rewards,Digital scratch cards with hidden rewards post-transaction.,Scratch cards on Google Pay / PhonePe after payments.,Very frequently
Psychological Pricing,Was–Now Pricing,Shows original price with a strike-through and current discount price.,"MRP ₹1999, Now ₹999 on product label.",Very frequently
Psychological Pricing,Charm Pricing (₹999 instead of ₹1000),Price ending in .99 or similar to appear cheaper.,"Most consumer products priced at ₹99, ₹199, ₹999.",Very frequently
Psychological Pricing,Anchor Pricing,Display a higher 'compare at' price next to current offer price.,Showing '₹2999' crossed out and '₹1499' as current price.,Very frequently
Channel / Payment-based,Bank / Card Specific Discount,Extra discount when using certain banks or card networks.,10% instant discount on SBI / HDFC cards in major sales.,Very frequently
Gifts & Freebies,Mystery Gift,Customer receives an unknown surprise gift.,Mystery gift during festive sales on e-commerce sites.,Less frequently
Cart / Order-based,Free Shipping on All Orders,No delivery fees regardless of order size.,Free shipping on some D2C brand websites as a USP.,Less frequently
Cart / Order-based,Waived COD Fee,Cash-on-delivery handling charges are removed.,No COD fee during special promotions on some e-commerce sites.,Less frequently
